URL;"ETA Number";Version;"Date of issue";"Trade Name";"Generic type and use";"Holder of assesment";"Holder Address";"Holder Postal Code";"Holder City";"Holder Country";"Issuing TAB";"Reference number";"EU Decisioin number(OJEU)";System
https://www.eota.eu/etassessments/11386;02/0032;2;04/11/2020;"Hilti push-in anchor HKD";"Mechanical fasteners for use in concrete";"HILTI AG";"Feldkircherstrasse 100 Postfach 333";9494;Schaan,;Liechtenstein;DIBt;"EAD 330232-01-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/6253;02/0042;4;21/11/2017;"Hilti HSL-3, HSL-3-R";"Mechanical fasteners for use in concrete";"Hilti Corporation 14";"Feldkircherstr. 100";9494;Schaan;Liechtenstein;CSTB;"EAD 330232-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/2960;02/0044;2;29/02/2016;"Würth Drop-in Anchor W-ED/S, W-ED/S BND, W-ED/A4, W-ED/A4 BND, W-ED/HCR and W-ED/HCR BND";"Metal anchors for use in Concrete used as an EAD";"Adolf Würth GmbH & Co. KG 5";"Reinhold-Würth-Strasse 12-17";74653;Künzelsau;Germany;DIBt;"ETAG 001 used as EAD";1996/0582/EC;1
https://www.eota.eu/etassessments/4126;03/0002;1;23/09/2016;"DEKO partition type 1090, 1290, 1090-PF and 1290-PF";"Internal Partition Kits for use ad Non-Loadbearing Walls used as an EAD";"DEKO loft+væg p׀s";"Mårkærvej 11";DK-2630;Tåstrup;Denmark;ETA-DK;"ETAG 003 used as EAD";1999/0454/EC
https://www.eota.eu/etassessments/13119;03/0003;2;05/12/2017;"DOWSIL™ 3362 AND DOWSIL™ 3362 HD BLACK – GREY – WHITE";"Structural sealant glazing kit used as and EAD";"DOW Europe GmbH";"Bachtobelstrasse 3";D-8810;Horgen;Switzerland;UBAtc;"ETAG 002 used as EAD";1996/0582/EC;1
https://www.eota.eu/etassessments/15865;03/0007;2;07/11/2022;"YTONG/Hebel internal partition kit with large-sized panels of autoclaved aerated concrete (AAC) for use as non-loadbearing walls";"Internal partition kits for use as non-loadbearing walls";"Xella Nederland BV";"Mildijk 141/Postbus 23";"NL-4200 AA";Vuren/Gorinchem;Netherlands;SKG-IKOB;"EAD 210005-00-0505";1998/0213/EC;"3, 4"
https://www.eota.eu/etassessments/7924;03/0008;1;31/07/2018;"SPIT Maxima";"Bonded fasteners for use in concrete";"SPIT 3";"Route de Lyon";26500;"Bourg les Valence";France;CSTB;"EAD 330499-00-0601";1996/0582/EC;1
https://www.eota.eu/etassessments/8083;03/0012;1;18/06/2018;"weber.therm family (with EPS)";"External Thermal Composite Systems with rendering used as an EAD";"Saint-Gobain Weber";"Rue de Brie – B.P.84 - Servon";77253;"Brie-Compte-Robert cedex";France;OIB;"ETAG 004 used as EAD";1997/0556/EC;"1, 2+"
https://www.eota.eu/etassessments/659;03/0015;1;17/08/2015;"Honka Log House";"TIMBER BUILDING KITS used as an EAD";"Honkarakenne Oyj";"Karstulan tehdasn Hongantie 41";FI-43500;Karstula;Finland;Eurofins;"ETAG 007 used as EAD";1999/0455/EC;1
https://www.eota.eu/etassessments/7428;03/0016;1;23/05/2018;Omatalo;"Timber building kit used as an EAD";"Omatalo Oy";"Rutakontie 50";74300;Sonkajärvi;Finland;Eurofins;"ETAG 007 used as EAD";1999/0455/EC;1
