URL;"ETA Number";Version;"Date of issue";"Trade Name";"Generic type and use";"Holder of assesment";"Holder Address";"Holder Postal Code";"Holder City";"Holder Country";"Issuing TAB";"Reference number";"EU Decisioin number(OJEU)";System
https://www.eota.eu/etassessments/6012;08/0053;2;01/05/2025;"Simpson Strong-Tie Skewed and Sloped joist hangers - See type numbers in section II.1 of the ETA";"Three dimensional nailing plates";"SIMPSON STRONG-TIE A/S";"Hedegaardsvej 4 – 11, Boulstrup";DK-8300;Odder;Denmark;ETA-DK;"EAD 130186-00-0603";1997/0638/EC;2+
https://www.eota.eu/etassessments/7838;08/0063;1;16/03/2018;"FraP Joist Hangers";"Three-dimensional nailing plats used as an EAD";"FraP Metall GmbH";"Triftstrasse 21B";D-16348;Wandlitz;Germany;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC;2+
https://www.eota.eu/etassessments/7498;08/0079;1;11/04/2018;"Joist Hangers type: EuP A1,5 kombi;EuP A2 kombi; EuP B2 kombi; EuP B2 slim";"Three Dimensional Nailing Plates used as an EAD";"GH Baubeschläge GmbH 2";"Austrasse 34";D-73235;"Weilheim / Teck";;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC;2+
https://www.eota.eu/etassessments/5197;08/0165;3;18/05/2017;"GAH Angle Brackets";;"Gust. Alberts GmbH & Co KG 2";"Gewerbegebiet Grünenthal";D-55845;Herscheid;Germany;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC;2+
https://www.eota.eu/etassessments/1412;08/0171;1;13/05/2014;"GAH Joist Hangers Type A, 1,5 mm and 2,0 mm and type B";"Three-dimensional nailing plate – joist hanger";"Gust. Alberts GmbH & Co KG";"Gewerbegebiet Grünenthal";D-55845;Herscheid;Germany;ETA-DK;"ETAG 015 used as EAD";97/638/EC;1
https://www.eota.eu/etassessments/15023;08/0183;3;11/04/2022;"BB Angle Bracket 70 with and without rib,BB Angle Bracket 90 with and without rib, BB Angle Bracket 105 with and without rib, BB Angle Bracket 145 with rib, BB Angle Brackets KR100, KR135";"Three dimensional nailing plates";"BB Stanz- und Umformtechnik GmbH";"Nordhäuser Strasse 42";D-06536;Berga;Germany;ETA-DK;;1997/0638/EC
https://www.eota.eu/etassessments/7567;08/0184;1;04/02/2019;"Three-dimensional nailing plates (Joist hangers for wood to wood connections and wood to concrete or steel connections)";"Three-dimensional nailing plates used as an EAD";"BB Stanz- und Umformtechnik GmbH";"Nordhäuser Strasse 42";D-06536;Berga;Germany;DIBt;"ETAG 015 used as EAD";1997/0638/EC;2+
https://www.eota.eu/etassessments/7497;08/0203;1;10/04/2018;"Purlin Tie EuP180 kombi Purlin Tie EuP 220 kombi Purlin Tie EuP 260 kombi Purlin Tie EuP 170 right/left Purlin Tie EuP 210 right/left Purlin Tie EuP 250 right/left Purlin Tie EuP 290 right/left Purlin Tie EuP 330 right/left Purlin Tie EuP 370 right/left";"Three Dimensional Nailing Plates used as an EAD";"GH Baubeschläge GmbH 2";"Austrasse 34";D-73235;"Weilheim / Teck";;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC;2+
https://www.eota.eu/etassessments/7496;08/0215;1;11/04/2018;"EuP Angle Brackets (type 6108, 6130, 6113, 6145, 6150, 6170)";"Three dimensional nailing plates";"GH Baubeschläge GmbH 2";"Austrasse 34";D-73235;"Weilheim / Teck";;ETA-DK;"ETAG 015 used as EAD";1997/0638/EC
https://www.eota.eu/etassessments/4210;08/0216;2;07/05/2022;"Joma Joist hangers Type Kombi and I 238, 260, 320, 380, 440, 500 and type Special and type Kombi with rib 230, 260, 320 and 380 and type I-I and I-S";"Three dimensional nailing plates";"Joma AB";Målskog;"SE-335 91";Gnosjö;Sweden;ETA-DK;"EAD 130186-00-0603";1997/0638/EC
